composite,asset_id,product_id,granule_id,datetime,mgrs_tile,cloud_pct,cloud_land_pct,shadow_pct,nodata_pct,platform,baseline,orbit,sun_zenith,sun_azimuth,boa_offset_B2
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241108T110251_20241108T110442_T29SQR,S2A_MSIL2A_20241108T110251_N0511_R094_T29SQR_20241108T151353,L2A_T29SQR_A048997_20241108T110442,2024-11-08 11:12:23,29SQR,37.473953,37.383583,1.004648,8.429604,Sentinel-2A,5.11,94,50.6471646463702,162.387983582378,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241111T111311_20241111T111444_T29SQS,S2A_MSIL2A_20241111T111311_N0511_R137_T29SQS_20241111T151952,L2A_T29SQS_A049040_20241111T111444,2024-11-11 11:22:06,29SQS,0.000157,0.000157,0.0,13.548917,Sentinel-2A,5.11,137,51.7755234442143,165.687471152965,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241111T111311_20241111T111444_T29SPS,S2A_MSIL2A_20241111T111311_N0511_R137_T29SPS_20241111T151952,L2A_T29SPS_A049040_20241111T111444,2024-11-11 11:22:09,29SPS,0.000504,0.000467,0.0,0.0,Sentinel-2A,5.11,137,52.0223901380958,164.444002876618,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241111T111311_20241111T111444_T29SQR,S2A_MSIL2A_20241111T111311_N0511_R137_T29SQR_20241111T151952,L2A_T29SQR_A049040_20241111T111444,2024-11-11 11:22:20,29SQR,0.147595,0.148024,0.21038,34.245563,Sentinel-2A,5.11,137,50.8953987922752,165.548842368397,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241111T111311_20241111T111444_T29SPR,S2A_MSIL2A_20241111T111311_N0511_R137_T29SPR_20241111T151952,L2A_T29SPR_A049040_20241111T111444,2024-11-11 11:22:24,29SPR,0.000149,0.0001,0.0,0.0,Sentinel-2A,5.11,137,51.143696130714,164.30410019528,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241113T110219_20241113T111146_T29SQS,S2B_MSIL2A_20241113T110219_N0511_R094_T29SQS_20241113T133656,L2A_T29SQS_A040160_20241113T111146,2024-11-13 11:12:07,29SQS,13.940948,13.951528,4.104701,26.638645,Sentinel-2B,5.11,94,52.8767377865712,162.85053556835,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241113T110219_20241113T111146_T29SQR,S2B_MSIL2A_20241113T110219_N0511_R094_T29SQR_20241113T133656,L2A_T29SQR_A040160_20241113T111146,2024-11-13 11:12:22,29SQR,11.905249,11.929946,12.920073,8.458409,Sentinel-2B,5.11,94,52.0073606982917,162.684964273269,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241116T111239_20241116T111851_T29SQS,S2B_MSIL2A_20241116T111239_N0511_R137_T29SQS_20241116T142116,L2A_T29SQS_A040203_20241116T111851,2024-11-16 11:22:04,29SQS,3.014407,3.014453,0.986277,13.604301,Sentinel-2B,5.11,137,53.080025530792,165.811610797306,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241116T111239_20241116T111851_T29SPS,S2B_MSIL2A_20241116T111239_N0511_R137_T29SPS_20241116T142116,L2A_T29SPS_A040203_20241116T111851,2024-11-16 11:22:08,29SPS,0.018484,0.004575,0.0,0.0,Sentinel-2B,5.11,137,53.3248138508517,164.598498018519,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241116T111239_20241116T111851_T29SQR,S2B_MSIL2A_20241116T111239_N0511_R137_T29SQR_20241116T142116,L2A_T29SQR_A040203_20241116T111851,2024-11-16 11:22:19,29SQR,20.668505,20.728777,7.117179,34.343448,Sentinel-2B,5.11,137,52.1994611129762,165.681668065669,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241116T111239_20241116T111851_T29SPR,S2B_MSIL2A_20241116T111239_N0511_R137_T29SPR_20241116T142116,L2A_T29SPR_A040203_20241116T111851,2024-11-16 11:22:23,29SPR,2.573611,2.579379,2.144087,0.0,Sentinel-2B,5.11,137,52.4455443644984,164.467960972179,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241118T110341_20241118T110445_T29SQS,S2A_MSIL2A_20241118T110341_N0511_R094_T29SQS_20241118T151707,L2A_T29SQS_A049140_20241118T110445,2024-11-18 11:12:11,29SQS,29.646653,29.685941,1.405838,25.930023,Sentinel-2A,5.11,94,54.1263244136075,163.01261308295,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241123T110309_20241123T110644_T29SQS,S2B_MSIL2A_20241123T110309_N0511_R094_T29SQS_20250128T154202,L2A_T29SQS_A040303_20241123T110644,2024-11-23 11:12:12,29SQS,0.00181,0.001813,9e-06,25.405586,Sentinel-2B,5.11,94,55.2599985166692,163.018450637736,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241123T110309_20241123T110644_T29SQR,S2B_MSIL2A_20241123T110309_N0511_R094_T29SQR_20250128T154202,L2A_T29SQR_A040303_20241123T110644,2024-11-23 11:12:27,29SQR,0.000251,0.000212,0.0,7.347281,Sentinel-2B,5.11,94,54.3898764229946,162.870132891073,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241126T111319_20241126T111320_T29SQS,S2B_MSIL2A_20241126T111319_N0511_R137_T29SQS_20241126T122745,L2A_T29SQS_A040346_20241126T111320,2024-11-26 11:22:09,29SQS,23.304409,23.304655,0.163209,14.834672,Sentinel-2B,5.11,137,55.3140652175797,165.68836501373,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241126T111319_20241126T111320_T29SQR,S2B_MSIL2A_20241126T111319_N0511_R137_T29SQR_20241126T122745,L2A_T29SQR_A040346_20241126T111320,2024-11-26 11:22:23,29SQR,12.109172,12.098291,9.397493,35.588512,Sentinel-2B,5.11,137,54.4338979807271,165.568756134406,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241128T110411_20241128T110443_T29SQS,S2A_MSIL2A_20241128T110411_N0511_R094_T29SQS_20241128T152055,L2A_T29SQS_A049283_20241128T110443,2024-11-28 11:12:10,29SQS,0.376231,0.376727,0.0,26.641405,Sentinel-2A,5.11,94,56.2653289168513,162.873786748091,-1000.0
2024_11,COPERNICUS/S2_SR_HARMONIZED/20241128T110411_20241128T110443_T29SQR,S2A_MSIL2A_20241128T110411_N0511_R094_T29SQR_20241128T152055,L2A_T29SQR_A049283_20241128T110443,2024-11-28 11:12:24,29SQR,3.488275,3.495574,5.679255,8.451903,Sentinel-2A,5.11,94,55.3957940022798,162.730132626686,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250102T110349_20250102T111043_T29SQS,S2B_MSIL2A_20250102T110349_N0511_R094_T29SQS_20250102T163547,L2A_T29SQS_A040875_20250102T111043,2025-01-02 11:12:12,29SQS,0.004827,0.003894,0.0,26.454997,Sentinel-2B,5.11,94,58.7329096546942,159.17421039827,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250102T110349_20250102T111043_T29SQR,S2B_MSIL2A_20250102T110349_N0511_R094_T29SQR_20250102T163547,L2A_T29SQR_A040875_20250102T111043,2025-01-02 11:12:26,29SQR,0.01979,0.019263,0.0,8.296426,Sentinel-2B,5.11,94,57.880601931476,159.010763163065,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250105T111349_20250105T111348_T29SQS,S2B_MSIL2A_20250105T111349_N0511_R137_T29SQS_20250105T132250,L2A_T29SQS_A040918_20250105T111348,2025-01-05 11:22:08,29SQS,17.250508,17.250772,0.095034,13.888974,Sentinel-2B,5.11,137,57.8214564801883,161.277045490424,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250105T111349_20250105T111348_T29SPS,S2B_MSIL2A_20250105T111349_N0511_R137_T29SPS_20250105T132250,L2A_T29SPS_A040918_20250105T111348,2025-01-05 11:22:11,29SPS,0.088109,0.088544,0.0,0.0,Sentinel-2B,5.11,137,58.1320802152118,160.182117996802,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250105T111349_20250105T111348_T29SQR,S2B_MSIL2A_20250105T111349_N0511_R137_T29SQR_20250105T132250,L2A_T29SQR_A040918_20250105T111348,2025-01-05 11:22:22,29SQR,3.248675,3.258288,0.358245,34.622231,Sentinel-2B,5.11,137,56.9589857975886,161.126820874195,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250105T111349_20250105T111348_T29SPR,S2B_MSIL2A_20250105T111349_N0511_R137_T29SPR_20250105T132250,L2A_T29SPR_A040918_20250105T111348,2025-01-05 11:22:26,29SPR,0.002953,0.002696,0.0,0.0,Sentinel-2B,5.11,137,57.2711308992313,160.034481596763,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250110T111431_20250110T111428_T29SQS,S2A_MSIL2A_20250110T111431_N0511_R137_T29SQS_20250110T151150,L2A_T29SQS_A049898_20250110T111428,2025-01-10 11:22:04,29SQS,0.024911,0.024877,0.0,12.601833,Sentinel-2A,5.11,137,57.3276485634705,160.470115854227,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250110T111431_20250110T111428_T29SPS,S2A_MSIL2A_20250110T111431_N0511_R137_T29SPS_20250110T151150,L2A_T29SPS_A049898_20250110T111428,2025-01-10 11:22:07,29SPS,14.019576,13.881487,0.0,0.0,Sentinel-2A,5.11,137,57.6500104986981,159.368112238323,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250110T111431_20250110T111428_T29SQR,S2A_MSIL2A_20250110T111431_N0511_R137_T29SQR_20250110T151150,L2A_T29SQR_A049898_20250110T111428,2025-01-10 11:22:18,29SQR,0.013547,0.005481,5e-06,33.336583,Sentinel-2A,5.11,137,56.4689924080899,160.308726535067,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250110T111431_20250110T111428_T29SPR,S2A_MSIL2A_20250110T111431_N0511_R137_T29SPR_20250110T151150,L2A_T29SPR_A049898_20250110T111428,2025-01-10 11:22:22,29SPR,1.843879,1.652113,0.0,0.0,Sentinel-2A,5.11,137,56.7930244967511,159.209364424839,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250112T110329_20250112T110716_T29SQS,S2B_MSIL2A_20250112T110329_N0511_R094_T29SQS_20250112T133937,L2A_T29SQS_A041018_20250112T110716,2025-01-12 11:12:11,29SQS,9.244429,9.254964,0.124458,26.625651,Sentinel-2B,5.11,94,57.8289900093944,157.567327775521,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250112T110329_20250112T110716_T29SQR,S2B_MSIL2A_20250112T110329_N0511_R094_T29SQR_20250112T133937,L2A_T29SQR_A041018_20250112T110716,2025-01-12 11:12:26,29SQR,0.894635,0.895036,0.0,8.440005,Sentinel-2B,5.11,94,56.9853283845078,157.382102965428,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250115T111319_20250115T111542_T29SQS,S2B_MSIL2A_20250115T111319_N0511_R137_T29SQS_20250115T133241,L2A_T29SQS_A041061_20250115T111542,2025-01-15 11:22:06,29SQS,0.0026,0.002573,0.004082,13.351867,Sentinel-2B,5.11,137,56.6487674628574,159.67572008373,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250115T111319_20250115T111542_T29SPS,S2B_MSIL2A_20250115T111319_N0511_R137_T29SPS_20250115T133241,L2A_T29SPS_A041061_20250115T111542,2025-01-15 11:22:10,29SPS,0.075444,0.053765,0.0,0.0,Sentinel-2B,5.11,137,56.9826388901808,158.562958104181,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250115T111319_20250115T111542_T29SQR,S2B_MSIL2A_20250115T111319_N0511_R137_T29SQR_20250115T133241,L2A_T29SQR_A041061_20250115T111542,2025-01-15 11:22:20,29SQR,0.035227,0.025406,0.027873,34.080002,Sentinel-2B,5.11,137,55.794039795201,159.501642323486,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250115T111319_20250115T111542_T29SPR,S2B_MSIL2A_20250115T111319_N0511_R137_T29SPR_20250115T133241,L2A_T29SPR_A041061_20250115T111542,2025-01-15 11:22:24,29SPR,1.22842,1.212833,0.0,0.0,Sentinel-2B,5.11,137,56.1297546684577,158.391501996836,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250117T110401_20250117T110552_T29SQR,S2A_MSIL2A_20250117T110401_N0511_R094_T29SQR_20250117T164152,L2A_T29SQR_A049998_20250117T110552,2025-01-17 11:12:25,29SQR,0.101383,0.101129,0.261243,8.073394,Sentinel-2A,5.11,94,56.2738883473328,156.528052001156,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250120T111401_20250120T111444_T29SQR,S2A_MSIL2A_20250120T111401_N0511_R137_T29SQR_20250120T170453,L2A_T29SQR_A050041_20250120T111444,2025-01-20 11:22:21,29SQR,25.91036,25.98671,0.017871,34.445274,Sentinel-2A,5.11,137,54.950284604086,158.676065913972,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250120T111401_20250120T111444_T29SPR,S2A_MSIL2A_20250120T111401_N0511_R137_T29SPR_20250120T170453,L2A_T29SPR_A050041_20250120T111444,2025-01-20 11:22:24,29SPR,25.752738,25.271896,0.0,0.0,Sentinel-2A,5.11,137,55.2979071626206,157.55170507775,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250125T111239_20250125T111758_T29SQS,S2B_MSIL2A_20250125T111239_N0511_R137_T29SQS_20250125T133058,L2A_T29SQS_A041204_20250125T111758,2025-01-25 11:22:09,29SQS,35.338458,35.338491,0.0,14.036052,Sentinel-2B,5.11,137,54.785299437932,158.065989040917,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250125T111239_20250125T111758_T29SPS,S2B_MSIL2A_20250125T111239_N0511_R137_T29SPS_20250125T133058,L2A_T29SPS_A041204_20250125T111758,2025-01-25 11:22:13,29SPS,38.768893,38.941038,0.0,0.0,Sentinel-2B,5.11,137,55.1423671235806,156.921323707849,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250125T111239_20250125T111758_T29SQR,S2B_MSIL2A_20250125T111239_N0511_R137_T29SQR_20250125T133058,L2A_T29SQR_A041204_20250125T111758,2025-01-25 11:22:24,29SQR,7.094917,6.928827,0.120603,34.739745,Sentinel-2B,5.11,137,53.9390553043755,157.860809863856,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250125T111239_20250125T111758_T29SPR,S2B_MSIL2A_20250125T111239_N0511_R137_T29SPR_20250125T133058,L2A_T29SPR_A041204_20250125T111758,2025-01-25 11:22:28,29SPR,18.617825,18.526515,0.0,0.0,Sentinel-2B,5.11,137,54.2983852690539,156.718581781496,-1000.0
2025_01,COPERNICUS/S2_SR_HARMONIZED/20250127T110351_20250127T110350_T29SQR,S2C_MSIL2A_20250127T110351_N0511_R094_T29SQR_20250127T150210,L2A_T29SQR_A002066_20250127T110350,2025-01-27 11:12:54,29SQR,14.297824,14.317423,0.0,7.287189,Sentinel-2C,5.11,94,54.3083229928636,154.919840634568,-1000.0
